date,afford120,afford80,afford30
2006,0.817019373,0.524896153,0.064805215
2007,0.792748923,0.472762409,0.057047225
2008,0.786270492,0.508703298,0.073791546
2009,0.775232236,0.452463352,0.071566385
2010,0.780573917,0.448622351,0.066099339
2011,0.79526712,0.470849344,0.060137425
2012,0.783682035,0.489430009,0.071333825
2013,0.761255361,0.479132298,0.059068777
2014,0.729340079,0.404983407,0.052533866
2015,0.70071481,0.362155857,0.057076011
2016,0.705947855,0.391398094,0.057638022
2017,0.695455537,0.354530541,0.071064137
