Year,Pop
1/1/1983,
2/1/1983,
3/1/1983,
4/1/1983,
5/1/1983,
6/1/1983,12830
7/1/1983,12687
8/1/1983,
9/1/1983,
10/1/1983,14238
11/1/1983,14855
12/1/1983,
1/1/1984,15663
2/1/1984,16353
3/1/1984,16670
4/1/1984,
5/1/1984,
6/1/1984,
7/1/1984,
8/1/1984,
9/1/1984,
10/1/1984,17618
11/1/1984,
12/1/1984,18557
1/1/1985,19300
2/1/1985,
3/1/1985,
4/1/1985,19975
5/1/1985,19830
6/1/1985,19912
7/1/1985,20485
8/1/1985,20811
9/1/1985,21120
10/1/1985,21645
11/1/1985,22102
12/1/1985,23247
1/1/1986,24012
2/1/1986,24849
3/1/1986,24148
4/1/1986,24165
5/1/1986,23720
6/1/1986,24059
7/1/1986,23408
8/1/1986,23951
9/1/1986,24935
10/1/1986,25404
11/1/1986,26081
12/1/1986,26609
1/1/1987,27406
2/1/1987,28018
3/1/1987,28737
4/1/1987,28227
5/1/1987,27668
6/1/1987,27603
7/1/1987,27704
8/1/1987,27250
9/1/1987,
10/1/1987,
11/1/1987,
12/1/1987,27163
1/1/1988,27712
2/1/1988,27902
3/1/1988,28038
4/1/1988,27846
5/1/1988,27794
6/1/1988,27202
7/1/1988,26860
8/1/1988,26600
9/1/1988,26657
10/1/1988,26493
11/1/1988,26392
12/1/1988,25751
1/1/1989,25784
2/1/1989,25722
3/1/1989,25572
4/1/1989,24992
5/1/1989,23255
6/1/1989,21785
7/1/1989,21320
8/1/1989,21023
9/1/1989,21123
10/1/1989,20788
11/1/1989,20477
12/1/1989,20766
1/1/1990,20995
2/1/1990,20960
3/1/1990,20913
4/1/1990,20145
5/1/1990,19533
6/1/1990,18194
7/1/1990,18144
8/1/1990,18612
9/1/1990,19281
10/1/1990,19877
11/1/1990,20143
12/1/1990,20239
1/1/1991,21446
2/1/1991,21948
3/1/1991,22377
4/1/1991,22074
5/1/1991,21846
6/1/1991,21439
7/1/1991,21480
8/1/1991,21833
9/1/1991,22089
10/1/1991,22199
11/1/1991,
12/1/1991,22598
1/1/1992,22996
2/1/1992,23388
3/1/1992,23651
4/1/1992,23482
5/1/1992,23218
6/1/1992,22911
7/1/1992,22680
8/1/1992,22760
9/1/1992,22899
10/1/1992,23314
11/1/1992,23961
12/1/1992,23998
1/1/1993,23877
2/1/1993,24333
3/1/1993,24325
4/1/1993,24111
5/1/1993,
6/1/1993,23627
7/1/1993,23493
8/1/1993,23270
9/1/1993,23488
10/1/1993,23269
11/1/1993,23175
12/1/1993,23291
1/1/1994,23526
2/1/1994,23800
3/1/1994,23387
4/1/1994,23053
5/1/1994,23224
6/1/1994,23246
7/1/1994,22771
8/1/1994,22732
9/1/1994,23287
10/1/1994,23470
11/1/1994,23405
12/1/1994,23798
1/1/1995,24049
2/1/1995,24317
3/1/1995,24093
4/1/1995,23853
5/1/1995,23455
6/1/1995,23301
7/1/1995,23339
8/1/1995,23998
9/1/1995,24245
10/1/1995,24319
11/1/1995,24482
12/1/1995,24325
1/1/1996,24755
2/1/1996,24862
3/1/1996,24872
4/1/1996,24654
5/1/1996,24615
6/1/1996,24448
7/1/1996,24649
8/1/1996,
9/1/1996,24697
10/1/1996,24247
11/1/1996,23907
12/1/1996,23597
1/1/1997,23698
2/1/1997,23446
3/1/1997,22985
4/1/1997,22802
5/1/1997,22199
6/1/1997,21967
7/1/1997,21718
8/1/1997,21396
9/1/1997,21313
10/1/1997,21070
11/1/1997,21020
12/1/1997,20751
1/1/1998,21172
2/1/1998,21124
3/1/1998,21209
4/1/1998,20968
5/1/1998,20634
6/1/1998,20597
7/1/1998,20777
8/1/1998,21178
9/1/1998,21670
10/1/1998,21799
11/1/1998,22218
12/1/1998,22106
1/1/1999,22639
2/1/1999,22759
3/1/1999,22615
4/1/1999,22457
5/1/1999,22139
6/1/1999,22092
7/1/1999,22039
8/1/1999,22631
9/1/1999,22792
10/1/1999,23022
11/1/1999,23040
12/1/1999,22806
1/1/2000,22955
2/1/2000,23140
3/1/2000,23065
4/1/2000,23030
5/1/2000,23120
6/1/2000,24268
7/1/2000,23695
8/1/2000,23829
9/1/2000,24362
10/1/2000,24537
11/1/2000,24835
12/1/2000,25235
1/1/2001,25529
2/1/2001,25816
3/1/2001,26226
4/1/2001,26830
5/1/2001,27052
6/1/2001,27574
7/1/2001,28651
8/1/2001,29155
9/1/2001,28991
10/1/2001,29498
11/1/2001,29802
12/1/2001,30439
1/1/2002,31063
2/1/2002,31779
3/1/2002,32849
4/1/2002,33599
5/1/2002,33887
6/1/2002,33838
7/1/2002,35002
8/1/2002,35968
9/1/2002,36976
10/1/2002,37263
11/1/2002,37775
12/1/2002,38040
1/1/2003,38464
2/1/2003,38224
3/1/2003,38254
4/1/2003,38470
5/1/2003,38662
6/1/2003,38353
7/1/2003,38415
8/1/2003,37567
9/1/2003,38245
10/1/2003,38270
11/1/2003,38642
12/1/2003,38354
1/1/2004,38317
2/1/2004,38468
3/1/2004,38436
4/1/2004,37896
5/1/2004,37292
6/1/2004,36399
7/1/2004,36579
8/1/2004,36359
9/1/2004,36723
10/1/2004,36930
11/1/2004,36762
12/1/2004,36243
1/1/2005,36630
2/1/2005,36169
3/1/2005,35505
4/1/2005,34512
5/1/2005,33857
6/1/2005,32835
7/1/2005,32816
8/1/2005,32316
9/1/2005,32095
10/1/2005,31975
11/1/2005,31962
12/1/2005,31387
1/1/2006,31554
2/1/2006,31527
3/1/2006,31457
4/1/2006,31435
5/1/2006,31350
6/1/2006,31542
7/1/2006,32274
8/1/2006,32974
9/1/2006,33505
10/1/2006,34018
11/1/2006,34524
12/1/2006,34326
1/1/2007,35112
2/1/2007,35149
3/1/2007,35208
4/1/2007,35182
5/1/2007,34931
6/1/2007,34466
7/1/2007,34426
8/1/2007,35046
9/1/2007,35837
10/1/2007,35974
11/1/2007,35564
12/1/2007,34818
1/1/2008,35097
2/1/2008,34764
3/1/2008,34467
4/1/2008,34220
5/1/2008,33450
6/1/2008,33285
7/1/2008,33843
8/1/2008,34662
9/1/2008,35576
10/1/2008,36422
11/1/2008,36938
12/1/2008,36041
1/1/2009,36598
2/1/2009,36602
3/1/2009,36529
4/1/2009,36334
5/1/2009,36188
6/1/2009,36329
7/1/2009,37171
8/1/2009,37884
9/1/2009,39125
10/1/2009,39081
11/1/2009,38968
12/1/2009,38388
1/1/2010,39066
2/1/2010,38495
3/1/2010,38134
4/1/2010,37495
5/1/2010,37234
6/1/2010,36960
7/1/2010,36846
8/1/2010,36984
9/1/2010,37295
10/1/2010,38117
11/1/2010,38582
12/1/2010,38688
1/1/2011,39483
2/1/2011,39721
3/1/2011,39466
4/1/2011,39017
5/1/2011,38802
6/1/2011,38470
7/1/2011,38655
8/1/2011,39151
9/1/2011,40519
10/1/2011,40553
11/1/2011,41774
12/1/2011,42033
1/1/2012,
2/1/2012,42805
3/1/2012,42712
4/1/2012,43082
5/1/2012,43781
6/1/2012,44402
7/1/2012,45343
8/1/2012,46631
9/1/2012,47994
10/1/2012,48694
11/1/2012,49087
12/1/2012,49623
1/1/2013,50135
2/1/2013,50996
3/1/2013,50748
4/1/2013,50739
5/1/2013,50915
6/1/2013,50926
7/1/2013,51106
8/1/2013,51602
9/1/2013,52351
10/1/2013,52974
11/1/2013,53270
12/1/2013,53173
1/1/2014,53615
2/1/2014,54321
3/1/2014,54386
4/1/2014,54667
5/1/2014,55258
6/1/2014,55745
7/1/2014,56454
8/1/2014,56987
9/1/2014,58056
10/1/2014,59246
11/1/2014,60352
12/1/2014,60939
1/1/2015,60670
2/1/2015,60484
3/1/2015,60067
4/1/2015,59285
5/1/2015,58906
6/1/2015,58541
7/1/2015,58270
8/1/2015,58708
9/1/2015,59305
10/1/2015,59568
11/1/2015,59929
12/1/2015,60096
1/1/2016,60296
2/1/2016,60410
3/1/2016,60144
4/1/2016,60060
5/1/2016,60067
6/1/2016,60042
7/1/2016,60456
8/1/2016,61464
9/1/2016,61931
10/1/2016,62306
11/1/2016,62840
12/1/2016,62674
1/1/2017,62692
2/1/2017,62435
3/1/2017,61936
4/1/2017,61277
5/1/2017,61113
6/1/2017,60717
7/1/2017,60856
8/1/2017,61471
9/1/2017,62351
10/1/2017,62963
11/1/2017,63169
12/1/2017,63495
1/1/2018,63101
2/1/2018,63343
3/1/2018,62974
4/1/2018,62498
5/1/2018,61945
6/1/2018,61421
7/1/2018,61697
8/1/2018,62166
9/1/2018,63025
10/1/2018,63559
11/1/2018,63636
12/1/2018,63498
1/1/2019,63839
2/1/2019,63615
3/1/2019,63029
4/1/2019,61782
5/1/2019,61129
6/1/2019,60849
7/1/2019,61054
8/1/2019,61674
9/1/2019,62391
10/1/2019,62808
11/1/2019,63092
12/1/2019,62590
1/1/2020,62679
