date,pop_pct,afford_pct,ninety_pct,fifty_pct
2007,7.996957637,-0.775799025,4.630251769,1.39316718
2008,-0.699053631,1.674432134,2.500708282,3.331492094
2009,7.267082971,-0.222516079,-2.920636091,-5.739868364
2010,1.046088928,-0.546704637,3.056905322,0.510403006
2011,5.232035532,-0.596191446,3.287625818,1.072045703
2012,15.14562766,1.119640009,3.478989649,2.285335473
2013,12.53646373,-1.226504768,2.446127467,-0.624232501
2014,9.870341783,-0.653491044,4.767031119,4.445130951
2015,4.970839356,0.454214417,4.279590264,4.275667149
2016,2.642229442,0.056201136,2.030808551,3.328185572
